Waybill Date,Origin,Origin-St,Destination,Destination-St,Commodity,Railcars-Containers,Rail-Miles,Net-Weight-Tons,Metric-Tonnes,Rail-km,Rail-GHG-Emissions-Tonnes,Truck-GHG-Emissions-Tonnes
2024-08-01,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Sod,1,1101.2,16,14.52,1772.16,0.33,1.99
2024-08-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Celery,1,3073.8,10,9.07,4946.67,0.57,3.47
2024-09-11,MONTREAL TASCH YARD,PQ,FAIRVIEW COVE IMPEX,NS,Deferred goat,1,764.1,2,1.81,1229.67,0.03,0.17
2024-09-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Chives,1,3073.8,23,20.87,4946.67,1.32,7.97
2024-09-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Artichokes,1,3073.8,16,14.52,4946.67,0.92,5.54
2024-08-27,ROBERTS BANK,BC,WINNIPEG SYMING YAR,MB,Sweet potatoes/Yams,1,1566.3,26,23.59,2520.65,0.76,4.59
2024-09-05,MONTREAL TASCH YARD,PQ,FAIRVIEW COVE IMPEX,NS,Swine,1,764.1,26,23.59,1229.67,0.37,2.24
2024-08-29,CALGARY LOG PARK,AB,FAIRVIEW COVE IMPEX,NS,Sweet corn,1,3268.7,27,24.49,5260.32,1.64,9.95
2024-08-16,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Gherkins,1,3073.8,2,1.81,4946.67,0.11,0.69
2024-08-28,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Kohlrabi,1,1101.2,21,19.05,1772.16,0.43,2.61
2024-09-25,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Wine,1,1101.2,27,24.49,1772.16,0.55,3.35
2024-08-14,FAIRVIEW COVE IMPEX,NS,MONTREAL TASCH YARD,PQ,Rye,1,764.1,8,7.26,1229.67,0.11,0.69
2024-09-05,VANCOUVER INTER TER,BC,FAIRVIEW COVE IMPEX,NS,Tobacco,1,3802.4,20,18.14,6119.2,1.42,8.57
2024-09-27,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Semen and embryos,1,1101.2,22,19.96,1772.16,0.45,2.73
2024-08-28,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Mushrooms (including spawn),1,1101.2,21,19.05,1772.16,0.43,2.61
2024-10-01,FAIRVIEW COVE IMPEX,NS,WINNIPEG SYMING YAR,MB,Blueberries,1,2261.8,17,15.42,3639.91,0.72,4.33
2024-08-06,MONTREAL TASCH YARD,PQ,FAIRVIEW COVE IMPEX,NS,Celery,1,764.1,25,22.68,1229.67,0.36,2.15
2024-08-06,MONTREAL TASCH YARD,PQ,FAIRVIEW COVE IMPEX,NS,Apples,1,764.1,25,22.68,1229.67,0.36,2.15
2024-08-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Cantaloupe,1,3073.8,21,19.05,4946.67,1.2,7.28
2024-08-07,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Broccoli,1,1101.2,7,6.35,1772.16,0.14,0.87
2024-09-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Cannabis,1,3073.8,4,3.63,4946.67,0.23,1.39
2024-09-06,ROBERTS BANK,BC,MEMPHIS INTER TERM,TN,Maple products,1,2931.1,4,3.63,4717.02,0.22,1.32
2024-08-16,ROBERTS BANK,BC,DETROIT INTER TERM,MI,Wood,1,2737.3,19,17.24,4405.14,0.97,5.86
2024-08-09,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Rhubarb,1,2757.8,5,4.54,4438.13,0.26,1.55
2024-08-06,ROBERTS BANK,BC,DETROIT INTER TERM,MI,"Cherries (sweet, sour)",1,2737.3,19,17.24,4405.14,0.97,5.86
2024-09-16,ROBERTS BANK,BC,MALPORT,ON,Milk and cream (non-supply managed),1,2765.7,6,5.44,4450.84,0.31,1.87
2024-08-27,ROBERTS BANK,BC,CALGARY LOG PARK,AB,Canary seed,1,978.5,29,26.31,1574.7,0.53,3.2
2024-09-06,ROBERTS BANK,BC,CALGARY LOG PARK,AB,Beans (dry edible),1,978.5,29,26.31,1574.7,0.53,3.2
2024-09-27,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Fish meal,1,2457.7,12,10.89,3955.18,0.55,3.32
2024-09-06,ROBERTS BANK,BC,CALGARY LOG PARK,AB,Fruits and vegetables (non-edible),1,978.5,29,26.31,1574.7,0.53,3.2
2024-08-27,ROBERTS BANK,BC,CALGARY LOG PARK,AB,Okra,1,978.5,22,19.96,1574.7,0.4,2.43
2024-10-02,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Chickens (non-supply managed),1,1101.2,11,9.98,1772.16,0.23,1.37
2024-09-06,ROBERTS BANK,BC,MALPORT,ON,Monarda,1,2765.7,21,19.05,4450.84,1.08,6.55
2024-08-27,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Sweet peas,1,2757.8,11,9.98,4438.13,0.57,3.42
2024-09-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Cabbage,1,2757.8,8,7.26,4438.13,0.41,2.49
2024-08-27,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Ducks,1,3073.8,7,6.35,4946.67,0.4,2.43
2024-09-16,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Chinese vegetables,1,2457.7,8,7.26,3955.18,0.37,2.22
2024-09-06,ROBERTS BANK,BC,CALGARY LOG PARK,AB,Ducks,1,978.5,29,26.31,1574.7,0.53,3.2
2024-09-06,ROBERTS BANK,BC,CALGARY LOG PARK,AB,Wild boar,1,978.5,29,26.31,1574.7,0.53,3.2
2024-08-09,ROBERTS BANK,BC,SASKATOON INTER TER,SK,Niger seed/Niger thistle,1,1089.9,20,18.14,1753.98,0.41,2.46
2024-09-16,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Prepared feed and purchases (non-itemized),1,3073.8,6,5.44,4946.67,0.34,2.08
2024-09-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Stevia,1,3073.8,10,9.07,4946.67,0.57,3.47
2024-09-06,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Deer,1,2457.7,3,2.72,3955.18,0.14,0.83
2024-09-16,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Cherry tomatoes,1,2757.8,9,8.16,4438.13,0.46,2.8
2024-08-16,ROBERTS BANK,BC,ARCADIA,WI,Saskatoon berries,1,2255.4,7,6.35,3629.62,0.29,1.78
2024-08-09,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Fish meal,1,2457.7,8,7.26,3955.18,0.37,2.22
2024-09-09,CALGARY LOG PARK,AB,ROBERTS BANK,BC,Turkey eggs,1,988.7,30,27.22,1591.11,0.55,3.34
2024-08-08,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Watercress,1,1101.2,9,8.16,1772.16,0.18,1.12
2024-08-06,ROBERTS BANK,BC,EDMONTON INTER TERM,AB,Pot bellied pigs,1,766.3,29,26.31,1233.21,0.41,2.51
2024-08-09,ROBERTS BANK,BC,MALPORT,ON,Turkeys (non-supply managed),1,2765.7,19,17.24,4450.84,0.98,5.92
2024-09-16,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Witloof chicory,1,2457.7,11,9.98,3955.18,0.5,3.05
2024-08-27,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Pot bellied pigs,1,2757.8,23,20.87,4438.13,1.18,7.15
2024-09-17,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Canary seed,1,1101.2,23,20.87,1772.16,0.47,2.86
2024-08-16,ROBERTS BANK,BC,MALPORT,ON,Fennel,1,2765.7,6,5.44,4450.84,0.31,1.87
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Cucumbers,1,2757.8,29,26.31,4438.13,1.49,9.02
2024-09-15,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,"Cattle, fat/slaughter",1,1101.2,6,5.44,1772.16,0.12,0.74
2024-09-25,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Sweet potatoes/Yams,1,1101.2,4,3.63,1772.16,0.08,0.5
2024-08-27,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Anise,1,2757.8,6,5.44,4438.13,0.31,1.87
2024-09-09,MONTREAL TASCH YARD,PQ,FAIRVIEW COVE IMPEX,NS,Eggplant,1,764.1,28,25.4,1229.67,0.4,2.41
2024-08-09,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Lettuce,1,2457.7,9,8.16,3955.18,0.41,2.49
2024-09-11,MONTREAL TASCH YARD,PQ,FAIRVIEW COVE IMPEX,NS,Shrubs,1,764.1,8,7.26,1229.67,0.11,0.69
2024-08-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Endive,1,3073.8,8,7.26,4946.67,0.46,2.77
2024-09-19,MONTREAL TASCH YARD,PQ,FAIRVIEW COVE IMPEX,NS,Field peas,1,764.1,22,19.96,1229.67,0.31,1.89
2024-10-01,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Celery,1,1101.2,6,5.44,1772.16,0.12,0.74
2024-08-16,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Taiwanese chickens,1,3073.8,9,8.16,4946.67,0.52,3.12
2024-08-16,ROBERTS BANK,BC,HALIFAX HALTERM TER,NS,Goats,1,3838.4,11,9.98,6177.14,0.79,4.76
2024-08-16,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,"Forage (including pellets, silage)",1,3073.8,11,9.98,4946.67,0.63,3.81
2024-08-16,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Radish,1,3073.8,9,8.16,4946.67,0.52,3.12
2024-09-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Basil,1,3073.8,8,7.26,4946.67,0.46,2.77
2024-09-26,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Beets,1,1101.2,17,15.42,1772.16,0.35,2.11
2024-08-09,ROBERTS BANK,BC,MALPORT,ON,Sweet potatoes/Yams,1,2765.7,5,4.54,4450.84,0.26,1.56
2024-09-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Sea buckthorn,1,2757.8,13,11.79,4438.13,0.67,4.04
2024-08-28,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Prepared feed and protein supplements (itemized),1,1101.2,12,10.89,1772.16,0.25,1.49
2024-08-27,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Deferred elk,1,2757.8,15,13.61,4438.13,0.77,4.66
2024-08-02,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Kale,1,1101.2,10,9.07,1772.16,0.21,1.24
2024-08-27,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Sweet corn,1,2457.7,7,6.35,3955.18,0.32,1.94
2024-08-06,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Tobacco,1,2457.7,8,7.26,3955.18,0.37,2.22
2024-08-27,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Squash,1,2457.7,8,7.26,3955.18,0.37,2.22
2024-08-16,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Bok choi,1,2457.7,20,18.14,3955.18,0.92,5.54
2024-08-06,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Monarda,1,2457.7,4,3.63,3955.18,0.18,1.11
2024-08-06,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Celery,1,2457.7,12,10.89,3955.18,0.55,3.32
2024-08-06,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Oats,1,2457.7,3,2.72,3955.18,0.14,0.83
2024-08-16,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,"Chickens, eggs for hatching",1,2457.7,7,6.35,3955.18,0.32,1.94
2024-08-16,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Bedding plants,1,2457.7,11,9.98,3955.18,0.5,3.05
2024-08-16,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Lettuce,1,2457.7,11,9.98,3955.18,0.5,3.05
2024-08-16,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Gingko biloba,1,2457.7,8,7.26,3955.18,0.37,2.22
2024-08-16,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Lemon balm,1,2457.7,7,6.35,3955.18,0.32,1.94
2024-08-16,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Peaches,1,2457.7,12,10.89,3955.18,0.55,3.32
2024-08-16,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Rutabagas,1,2457.7,16,14.52,3955.18,0.73,4.43
2024-08-16,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Grapes,1,2457.7,7,6.35,3955.18,0.32,1.94
2024-08-16,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Watermelon,1,2457.7,12,10.89,3955.18,0.55,3.32
2024-08-16,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Nectarines,1,2457.7,8,7.26,3955.18,0.37,2.22
2024-08-16,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Shallots,1,2457.7,9,8.16,3955.18,0.41,2.49
2024-09-16,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Raspberries,1,2757.8,7,6.35,4438.13,0.36,2.18
2024-09-06,ROBERTS BANK,BC,WINNIPEG SYMING YAR,MB,Quinoa,1,1566.3,6,5.44,2520.65,0.18,1.06
2024-09-06,ROBERTS BANK,BC,SASKATOON INTER TER,SK,Apricots,1,1089.9,14,12.7,1753.98,0.28,1.72
2024-09-06,ROBERTS BANK,BC,SASKATOON INTER TER,SK,Wild boar,1,1089.9,17,15.42,1753.98,0.35,2.09
2024-09-06,ROBERTS BANK,BC,WINNIPEG SYMING YAR,MB,Lettuce,1,1566.3,12,10.89,2520.65,0.35,2.12
2024-09-06,ROBERTS BANK,BC,WINNIPEG SYMING YAR,MB,"Chickens, eggs for hatching",1,1566.3,28,25.4,2520.65,0.82,4.94
2024-09-06,ROBERTS BANK,BC,WINNIPEG SYMING YAR,MB,Pumpkins,1,1566.3,28,25.4,2520.65,0.82,4.94
2024-08-28,WINNIPEG SYMING YAR,MB,FAIRVIEW COVE IMPEX,NS,Watermelon,1,2270.5,18,16.33,3653.92,0.76,4.61
2024-09-06,ROBERTS BANK,BC,WINNIPEG SYMING YAR,MB,Brussels sprouts,1,1566.3,28,25.4,2520.65,0.82,4.94
2024-09-06,ROBERTS BANK,BC,WINNIPEG SYMING YAR,MB,Custom feedlot operator income (itemized invoices) – Qualifying feed and protein supplements,1,1566.3,28,25.4,2520.65,0.82,4.94
2024-09-06,ROBERTS BANK,BC,WINNIPEG SYMING YAR,MB,Mink,1,1566.3,28,25.4,2520.65,0.82,4.94
2024-09-11,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Swine,1,1101.2,1,0.91,1772.16,0.02,0.12
2024-09-13,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,"Sheep, lambs",1,1101.2,10,9.07,1772.16,0.21,1.24
2024-09-16,ROBERTS BANK,BC,WINNIPEG SYMING YAR,MB,Silkies,1,1566.3,17,15.42,2520.65,0.5,3
2024-09-16,ROBERTS BANK,BC,WINNIPEG SYMING YAR,MB,Flowers and ornamental foliage,1,1566.3,17,15.42,2520.65,0.5,3
2024-09-10,FAIRVIEW COVE IMPEX,NS,CHICAGO INTER TERM,IL,Shallots,1,1594.2,22,19.96,2565.55,0.65,3.95
2024-08-01,FAIRVIEW COVE IMPEX,NS,MONTREAL TASCH YARD,PQ,Green peas,1,764.1,23,20.87,1229.67,0.33,1.98
2024-08-01,FAIRVIEW COVE IMPEX,NS,MONTREAL TASCH YARD,PQ,Chickens (non-supply managed),1,764.1,25,22.68,1229.67,0.36,2.15
2024-08-01,FAIRVIEW COVE IMPEX,NS,MONTREAL TASCH YARD,PQ,Strawberries,1,764.1,24,21.77,1229.67,0.34,2.07
2024-09-18,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Watermelon,1,1101.2,22,19.96,1772.16,0.45,2.73
2024-08-09,ROBERTS BANK,BC,EDMONTON INTER TERM,AB,Prepared feed and protein supplements (itemized),1,766.3,24,21.77,1233.21,0.34,2.07
2024-08-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Taiwanese chickens,1,3073.8,24,21.77,4946.67,1.37,8.32
2024-08-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Seeds and bulbs,1,3073.8,24,21.77,4946.67,1.37,8.32
2024-08-16,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Fiddleheads,1,3073.8,24,21.77,4946.67,1.37,8.32
2024-08-16,ROBERTS BANK,BC,EDMONTON INTER TERM,AB,Chinese vegetables,1,766.3,26,23.59,1233.21,0.37,2.25
2024-08-16,ROBERTS BANK,BC,CALGARY LOG PARK,AB,Manure,1,978.5,10,9.07,1574.7,0.18,1.1
2024-09-06,ROBERTS BANK,BC,EDMONTON INTER TERM,AB,Marjoram,1,766.3,9,8.16,1233.21,0.13,0.78
2024-08-16,ROBERTS BANK,BC,EDMONTON INTER TERM,AB,Rye,1,766.3,28,25.4,1233.21,0.4,2.42
2024-08-16,ROBERTS BANK,BC,EDMONTON INTER TERM,AB,Borage,1,766.3,7,6.35,1233.21,0.1,0.6
2024-09-16,ROBERTS BANK,BC,EDMONTON INTER TERM,AB,Elderberries,1,766.3,25,22.68,1233.21,0.36,2.16
2024-08-06,ROBERTS BANK,BC,EDMONTON INTER TERM,AB,Milk and cream (cattle),1,766.3,26,23.59,1233.21,0.37,2.25
2024-08-16,ROBERTS BANK,BC,EDMONTON INTER TERM,AB,Wine,1,766.3,27,24.49,1233.21,0.39,2.33
2024-08-16,ROBERTS BANK,BC,EDMONTON INTER TERM,AB,Semen and embryos,1,766.3,24,21.77,1233.21,0.34,2.07
2024-09-06,ROBERTS BANK,BC,CALGARY LOG PARK,AB,Sweet peas,1,978.5,29,26.31,1574.7,0.53,3.2
2024-09-06,ROBERTS BANK,BC,CALGARY LOG PARK,AB,Soybeans,1,978.5,29,26.31,1574.7,0.53,3.2
2024-08-06,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Caraway seed,1,1101.2,29,26.31,1772.16,0.59,3.6
2024-09-12,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Deferred sheep,1,1101.2,29,26.31,1772.16,0.59,3.6
2024-09-25,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Spelt,1,1101.2,25,22.68,1772.16,0.51,3.1
2024-08-09,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Fox,1,2457.7,18,16.33,3955.18,0.82,4.99
2024-08-27,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Squash,1,2757.8,24,21.77,4438.13,1.23,7.46
2024-08-09,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Kenaf,1,3073.8,1,0.91,4946.67,0.06,0.35
2024-09-06,ROBERTS BANK,BC,MALPORT,ON,"Cattle, cows and bulls",1,2765.7,21,19.05,4450.84,1.08,6.55
2024-09-24,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Shallots,1,1101.2,27,24.49,1772.16,0.55,3.35
2024-09-06,MONTREAL TASCH YARD,PQ,FAIRVIEW COVE IMPEX,NS,Fiddleheads,1,764.1,26,23.59,1229.67,0.37,2.24
2024-08-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Ostriches,1,3073.8,15,13.61,4946.67,0.86,5.2
2024-09-09,MONTREAL TASCH YARD,PQ,FAIRVIEW COVE IMPEX,NS,"Currants (black, red)",1,764.1,9,8.16,1229.67,0.13,0.78
2024-10-02,SASKATOON INTER TER,SK,FAIRVIEW COVE IMPEX,NS,Lupins,1,2744.5,27,24.49,4416.72,1.38,8.35
2024-08-06,ROBERTS BANK,BC,SASKATOON INTER TER,SK,Livestock owners custom feeding expense (itemized) – Qualifying feed and protein supplements,1,1089.9,19,17.24,1753.98,0.39,2.33
2024-08-09,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Oats,1,2757.8,3,2.72,4438.13,0.15,0.93
2024-09-05,MALPORT,ON,ROBERTS BANK,BC,Chinese vegetables,1,2758.5,23,20.87,4439.25,1.18,7.15
2024-08-01,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,"Cattle, calves",1,1101.2,2,1.81,1772.16,0.04,0.25
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Other custom feeding expenses (itemized),1,2757.8,23,20.87,4438.13,1.18,7.15
2024-08-02,CALGARY LOG PARK,AB,FAIRVIEW COVE IMPEX,NS,"Chickens, eggs for hatching",1,3268.7,27,24.49,5260.32,1.64,9.95
2024-10-07,SASKATOON INTER TER,SK,FAIRVIEW COVE IMPEX,NS,Watercress,1,2744.5,27,24.49,4416.72,1.38,8.35
2024-09-16,ROBERTS BANK,BC,SASKATOON INTER TER,SK,Rice,1,1089.9,23,20.87,1753.98,0.47,2.83
2024-09-16,ROBERTS BANK,BC,CALGARY LOG PARK,AB,Niger seed/Niger thistle,1,978.5,23,20.87,1574.7,0.42,2.54
2024-08-16,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Mint,1,3073.8,19,17.24,4946.67,1.09,6.58
2024-08-09,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Straw,1,3073.8,6,5.44,4946.67,0.34,2.08
2024-09-24,MONTREAL TASCH YARD,PQ,FAIRVIEW COVE IMPEX,NS,Marjoram,1,764.1,20,18.14,1229.67,0.28,1.72
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Elk,1,2757.8,23,20.87,4438.13,1.18,7.15
2024-08-26,CALGARY LOG PARK,AB,FAIRVIEW COVE IMPEX,NS,Flowers (edible),1,3268.7,27,24.49,5260.32,1.64,9.95
2024-08-14,FAIRVIEW COVE IMPEX,NS,MONTREAL TASCH YARD,PQ,Ranch fur operators other feed expenses (itemized),1,764.1,20,18.14,1229.67,0.28,1.72
2024-08-06,ROBERTS BANK,BC,CALGARY LOG PARK,AB,Maple products,1,978.5,23,20.87,1574.7,0.42,2.54
2024-08-27,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,"Cattle, fat/slaughter",1,1101.2,17,15.42,1772.16,0.35,2.11
2024-09-16,ROBERTS BANK,BC,MALPORT,ON,Buckwheat,1,2765.7,24,21.77,4450.84,1.24,7.48
2024-09-25,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Mink,1,1101.2,22,19.96,1772.16,0.45,2.73
2024-08-27,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Raspberries,1,1101.2,17,15.42,1772.16,0.35,2.11
2024-08-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Parsley,1,3073.8,13,11.79,4946.67,0.74,4.5
2024-08-06,CALGARY LOG PARK,AB,FAIRVIEW COVE IMPEX,NS,Mushrooms (including spawn),1,3268.7,27,24.49,5260.32,1.64,9.95
2024-08-28,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Lathyrus,1,1101.2,2,1.81,1772.16,0.04,0.25
2024-08-01,FAIRVIEW COVE IMPEX,NS,MONTREAL TASCH YARD,PQ,"Sheep, ewes and rams",1,764.1,22,19.96,1229.67,0.31,1.89
2024-09-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Echinacea,1,3073.8,23,20.87,4946.67,1.32,7.97
2024-08-28,FAIRVIEW COVE IMPEX,NS,MALPORT,ON,Carrots,1,1100.3,26,23.59,1770.71,0.53,3.22
2024-09-06,ROBERTS BANK,BC,EDMONTON INTER TERM,AB,Strawberries,1,766.3,11,9.98,1233.21,0.16,0.95
2024-09-06,ROBERTS BANK,BC,MALPORT,ON,Trees (cultivated Christmas),1,2765.7,11,9.98,4450.84,0.57,3.43
2024-08-09,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Goats,1,2757.8,7,6.35,4438.13,0.36,2.18
2024-09-06,ROBERTS BANK,BC,EDMONTON INTER TERM,AB,Rutabagas,1,766.3,15,13.61,1233.21,0.21,1.3
2024-08-27,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Cherry tomatoes,1,2757.8,14,12.7,4438.13,0.72,4.35
2024-09-23,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Bok choi,1,1101.2,13,11.79,1772.16,0.27,1.61
2024-09-06,ROBERTS BANK,BC,EDMONTON INTER TERM,AB,Trees (fruit and ornamental),1,766.3,11,9.98,1233.21,0.16,0.95
2024-09-18,MONTREAL TASCH YARD,PQ,FAIRVIEW COVE IMPEX,NS,Pot bellied pigs,1,764.1,22,19.96,1229.67,0.31,1.89
2024-08-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Faba beans,1,3073.8,10,9.07,4946.67,0.57,3.47
2024-09-10,MONTREAL TASCH YARD,PQ,FAIRVIEW COVE IMPEX,NS,Trees (fruit and ornamental),1,764.1,25,22.68,1229.67,0.36,2.15
2024-08-06,ROBERTS BANK,BC,MALPORT,ON,Chervil,1,2765.7,16,14.52,4450.84,0.82,4.99
2024-08-27,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Marjoram,1,2757.8,5,4.54,4438.13,0.26,1.55
2024-10-01,MONTREAL TASCH YARD,PQ,FAIRVIEW COVE IMPEX,NS,Witloof chicory,1,764.1,28,25.4,1229.67,0.4,2.41
2024-08-16,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Deferred horse for PMU sales,1,3073.8,6,5.44,4946.67,0.34,2.08
2024-08-16,ROBERTS BANK,BC,ARCADIA,WI,St. John's wort,1,2255.4,5,4.54,3629.62,0.21,1.27
2024-08-20,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Flowers and ornamental foliage,1,1101.2,20,18.14,1772.16,0.41,2.48
2024-08-09,ROBERTS BANK,BC,EDMONTON INTER TERM,AB,Rye,1,766.3,11,9.98,1233.21,0.16,0.95
2024-08-27,ROBERTS BANK,BC,DETROIT INTER TERM,MI,Rheas,1,2737.3,8,7.26,4405.14,0.41,2.47
2024-08-16,ROBERTS BANK,BC,DETROIT INTER TERM,MI,Nuts (all),1,2737.3,2,1.81,4405.14,0.1,0.62
2024-10-01,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Rye,1,1101.2,26,23.59,1772.16,0.53,3.23
2024-08-06,ROBERTS BANK,BC,DETROIT INTER TERM,MI,Faba beans,1,2737.3,9,8.16,4405.14,0.46,2.78
2024-10-02,MONTREAL TASCH YARD,PQ,ROBERTS BANK,BC,Fish meal,1,3066.6,27,24.49,4935.08,1.54,9.33
2024-08-16,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Coriander,1,3073.8,9,8.16,4946.67,0.52,3.12
2024-08-06,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,"Bees, honey",1,1101.2,28,25.4,1772.16,0.57,3.48
2024-08-20,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Prunes,1,1101.2,9,8.16,1772.16,0.18,1.12
2024-08-06,ROBERTS BANK,BC,EDMONTON INTER TERM,AB,Ranch fur operators other feed expenses (itemized),1,766.3,11,9.98,1233.21,0.16,0.95
2024-08-27,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Canary seed,1,3073.8,9,8.16,4946.67,0.52,3.12
